product_name,product_price,product_url
pedag 皇家牛皮羊皮超薄鞋墊,$269,https://www.tw.coupang.com/products/pedag-%E7%9A%87%E5%AE%B6%E7%89%9B%E7%9A%AE%E7%BE%8A%E7%9A%AE%E8%B6%85%E8%96%84%E9%9E%8B%E5%A2%8A-21007849024340?itemId=21021389438956&vendorItemId=21088446188352&sourceType=search&rank=&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
J SHOE 鏤空羊皮手工休閒鞋,"$1,607",https://www.tw.coupang.com/products/J-SHOE-%E9%8F%A4%E7%A9%BA%E7%BE%8A%E7%9A%AE%E6%89%8B%E5%B7%A5%E4%BC%91%E9%96%92%E9%9E%8B-21001319643028?itemId=21002339831332&vendorItemId=21070336425435&sourceType=search&rank=1&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
elsso. 皮革乳膠鞋墊 2入,$238,https://www.tw.coupang.com/products/elsso.-%E7%9A%AE%E9%9D%A9%E4%B9%B3%E8%86%A0%E9%9E%8B%E5%A2%8A-2%E5%85%A5-21005964646453?itemId=21010699661911&vendorItemId=21077980384745&sourceType=search&rank=2&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
JACK&JILL 牛皮懶人鞋 JC0570,$672,https://www.tw.coupang.com/products/JACK%26JILL-%E7%89%9B%E7%9A%AE%E6%87%B6%E4%BA%BA%E9%9E%8B-JC0570-21002077305753?itemId=21003529506066&vendorItemId=21071515548687&sourceType=search&rank=3&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
"So Softy 矽膠高跟鞋墊, 單一顏色, 1包",$124,https://www.tw.coupang.com/products/So-Softy-%E7%9F%BD%E8%86%A0%E9%AB%98%E8%B7%9F%E9%9E%8B%E5%A2%8A-21000005244174?itemId=21000023767028&vendorItemId=21070842848466&sourceType=search&rank=4&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
FOOTINSOLE.COM 男士矽膠鞋跟鞋墊,$271,https://www.tw.coupang.com/products/FOOTINSOLE.COM-%E7%94%B7%E5%A3%AB%E7%9F%BD%E8%86%A0%E9%9E%8B%E8%B7%9F%E9%9E%8B%E5%A2%8A-21002155626281?itemId=21003661346515&vendorItemId=21071646776330&sourceType=search&rank=5&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
"So Softy 高跟鞋矽膠部分附件墊 6p, 透明, 1包",$104,https://www.tw.coupang.com/products/So-Softy-%E9%AB%98%E8%B7%9F%E9%9E%8B%E7%9F%BD%E8%86%A0%E9%83%A8%E5%88%86%E9%99%84%E4%BB%B6%E5%A2%8A-6p-21000005244164?itemId=21000023767022&vendorItemId=21070842848496&sourceType=search&rank=6&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
"矽膠鞋墊, 1雙",$717,https://www.tw.coupang.com/products/%E7%9F%BD%E8%86%A0%E9%9E%8B%E5%A2%8A-21000068732032?itemId=21000229527117&vendorItemId=21076518045837&sourceType=search&rank=7&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
超矽膠半墊高高鞋墊,$139,https://www.tw.coupang.com/products/%E8%B6%85%E7%9F%BD%E8%86%A0%E5%8D%8A%E5%A2%8A%E9%AB%98%E9%AB%98%E9%9E%8B%E5%A2%8A-21007460246249?itemId=21019443422217&vendorItemId=21086554392038&sourceType=search&rank=8&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
Paperments 麵包全跟增高鞋 00875,"$1,413",https://www.tw.coupang.com/products/Paperments-%E9%BA%B5%E5%8C%85%E5%85%A8%E8%B7%9F%E5%A2%9E%E9%AB%98%E9%9E%8B-00875-21007053042546?itemId=21017467942592&vendorItemId=21084635660198&sourceType=search&rank=9&searchId=da9d00804f4d4bbb93283eece18c3512&q=%E9%9B%B7%E6%A0%B9%E9%9E%8B
