product_name,product_price,product_url
"JOY HOUSE 兩口電動打氣機, 混色, 1組","$1,238",https://www.tw.coupang.com/products/JOY-HOUSE-%E5%85%A9%E5%8F%A3%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E6%A9%9F-21002000203035?itemId=21003403869698&vendorItemId=21071390486143&sourceType=search&rank=&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"ARAKHAN 家用電動泵, 混色, 1個",$404,https://www.tw.coupang.com/products/ARAKHAN-%E5%AE%B6%E7%94%A8%E9%9B%BB%E5%8B%95%E6%B3%B5-21001476434533?itemId=21002537136193&vendorItemId=21070529856489&sourceType=search&rank=1&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"家用電動充氣幫浦, 混合顏色",$243,https://www.tw.coupang.com/products/%E5%AE%B6%E7%94%A8%E9%9B%BB%E5%8B%95%E5%85%85%E6%B0%A3%E5%B9%AB%E6%B5%A6-21004500095830?itemId=21005400323437&vendorItemId=21072700317582&sourceType=search&rank=2&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"Breezmoon 手榴彈露營電動打氣筒便攜式管式帳篷墊打氣筒+收納袋套裝, Olive Green",$745,https://www.tw.coupang.com/products/Breezmoon-%E6%89%8B%E6%A6%B4%E5%BD%88%E9%9C%B2%E7%87%9F%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92%E4%BE%BF%E6%94%9C%E5%BC%8F%E7%AE%A1%E5%BC%8F%E5%B8%B3%E7%AF%B7%E5%A2%8A%E6%89%93%E6%B0%A3%E7%AD%92%2B%E6%94%B6%E7%B4%8D%E8%A2%8B%E5%A5%97%E8%A3%9D-21007673043530?itemId=21020473979801&vendorItemId=21087553166750&sourceType=search&rank=3&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"JO-PRO 電動氣泵TOR-80, 灰色, 1個",$191,https://www.tw.coupang.com/products/JO-PRO-%E9%9B%BB%E5%8B%95%E6%B0%A3%E6%B3%B5TOR-80-21000109000716?itemId=21000329765723&vendorItemId=21003808939727&sourceType=search&rank=4&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"JO-PRO 家用電動氣泵 TOR-155, 海軍",$216,https://www.tw.coupang.com/products/JO-PRO-%E5%AE%B6%E7%94%A8%E9%9B%BB%E5%8B%95%E6%B0%A3%E6%B3%B5-TOR-155-21000109000719?itemId=21000329765746&vendorItemId=21003808939761&sourceType=search&rank=5&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"[Coupang Import] HOTO 氣泵, 混合顏色, 1個","$1,572",https://www.tw.coupang.com/products/%5BCoupang-Import%5D-HOTO-%E6%B0%A3%E6%B3%B5-21006185930486?itemId=21012177862744&vendorItemId=21079449143448&sourceType=search&rank=6&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"ACE TECH 無線氣泵, 1個","$1,152",https://www.tw.coupang.com/products/ACE-TECH-%E7%84%A1%E7%B7%9A%E6%B0%A3%E6%B3%B5-21006918918772?itemId=21016701147854&vendorItemId=21083883678196&sourceType=search&rank=7&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"Breezmoon 手榴彈露營電動打氣筒便攜式管式帳篷墊打氣筒+收納袋套裝, Tan Beige",$745,https://www.tw.coupang.com/products/Breezmoon-%E6%89%8B%E6%A6%B4%E5%BD%88%E9%9C%B2%E7%87%9F%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92%E4%BE%BF%E6%94%9C%E5%BC%8F%E7%AE%A1%E5%BC%8F%E5%B8%B3%E7%AF%B7%E5%A2%8A%E6%89%93%E6%B0%A3%E7%AD%92%2B%E6%94%B6%E7%B4%8D%E8%A2%8B%E5%A5%97%E8%A3%9D-21007673043530?itemId=21020473979803&vendorItemId=21087553166760&sourceType=search&rank=8&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
"I.M.Panda 手榴彈電動氣泵, 卡其色",$620,https://www.tw.coupang.com/products/I.M.Panda-%E6%89%8B%E6%A6%B4%E5%BD%88%E9%9B%BB%E5%8B%95%E6%B0%A3%E6%B3%B5-21007314798299?itemId=21018747333790&vendorItemId=21085879409660&sourceType=search&rank=9&searchId=23d9f12c9b364260a8dd51e88aa954f3&q=%E9%9B%BB%E5%8B%95%E6%89%93%E6%B0%A3%E7%AD%92
