product_name,product_price,product_url
"MALANG JELLY 電池電量測試儀 BT-168D, 1個",$112,https://www.tw.coupang.com/products/MALANG-JELLY-%E9%9B%BB%E6%B1%A0%E9%9B%BB%E9%87%8F%E6%B8%AC%E8%A9%A6%E5%84%80-BT-168D-21005205246508?itemId=21007266510669&vendorItemId=21074557905625&sourceType=search&rank=&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"HDtop 鋰離子電池測試儀 HT-B400Pro, 1入",$211,https://www.tw.coupang.com/products/HDtop-%E9%8B%B0%E9%9B%A2%E5%AD%90%E9%9B%BB%E6%B1%A0%E6%B8%AC%E8%A9%A6%E5%84%80-HT-B400Pro-21006333453083?itemId=21013253923788&vendorItemId=21080511733315&sourceType=search&rank=1&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"Q-Tec Electronic 袖珍多功能測試儀 4201A 黑色 + 電池 2p, 1個",$484,https://www.tw.coupang.com/products/Q-Tec-Electronic-%E8%A2%96%E7%8F%8D%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B8%AC%E8%A9%A6%E5%84%80-4201A-%E9%BB%91%E8%89%B2-%2B-%E9%9B%BB%E6%B1%A0-2p-21005238997802?itemId=21007394509094&vendorItemId=21074685548595&sourceType=search&rank=2&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"HDtop 電池模擬電池測試儀 HT-B100, 1個",$72,https://www.tw.coupang.com/products/HDtop-%E9%9B%BB%E6%B1%A0%E6%A8%A1%E6%93%AC%E9%9B%BB%E6%B1%A0%E6%B8%AC%E8%A9%A6%E5%84%80-HT-B100-21002360760154?itemId=21004098503921&vendorItemId=21072082468823&sourceType=search&rank=3&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"ANENG 電池容量測量儀 BT-168Pro, 1個",$186,https://www.tw.coupang.com/products/ANENG-%E9%9B%BB%E6%B1%A0%E5%AE%B9%E9%87%8F%E6%B8%AC%E9%87%8F%E5%84%80-BT-168Pro-21004386699459?itemId=21005194410133&vendorItemId=21074538064935&sourceType=search&rank=4&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"E-books L3 電子數位手持行李秤 附電池 10 x 3.2 x 2.3cm 測量範圍1~40kg, E-LFA003, 1個",$143,https://www.tw.coupang.com/products/E-books-L3-%E9%9B%BB%E5%AD%90%E6%95%B8%E4%BD%8D%E6%89%8B%E6%8C%81%E8%A1%8C%E6%9D%8E%E7%A7%A4-%E9%99%84%E9%9B%BB%E6%B1%A0-10-x-3.2-x-2.3cm-%E6%B8%AC%E9%87%8F%E7%AF%84%E5%9C%8D1~40kg-452630769778691?itemId=452630769762308&vendorItemId=452630769795073&sourceType=search&rank=5&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"E-books L8 手搖式免電池電子數位行李秤 最大承重50kg, E-LFA008, 1個",$331,https://www.tw.coupang.com/products/E-books-L8-%E6%89%8B%E6%90%96%E5%BC%8F%E5%85%8D%E9%9B%BB%E6%B1%A0%E9%9B%BB%E5%AD%90%E6%95%B8%E4%BD%8D%E8%A1%8C%E6%9D%8E%E7%A7%A4-%E6%9C%80%E5%A4%A7%E6%89%BF%E9%87%8D50kg-456684501680132?itemId=456684501712901&vendorItemId=456684501712898&sourceType=search&rank=6&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"創藍電池測試器BT-710 C4060213, 1個",$174,https://www.tw.coupang.com/products/%E5%89%B5%E8%97%8D%E9%9B%BB%E6%B1%A0%E6%B8%AC%E8%A9%A6%E5%99%A8BT-710-C4060213-21007515839952?itemId=21019702787132&vendorItemId=21086807453998&sourceType=search&rank=7&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"萬能電池測試儀, 1個",$254,https://www.tw.coupang.com/products/%E8%90%AC%E8%83%BD%E9%9B%BB%E6%B1%A0%E6%B8%AC%E8%A9%A6%E5%84%80-21005226194195?itemId=21007345401745&vendorItemId=21074636609183&sourceType=search&rank=8&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"HDtop 電池模擬電池測試儀 HT-B100, 2個",$133,https://www.tw.coupang.com/products/HDtop-%E9%9B%BB%E6%B1%A0%E6%A8%A1%E6%93%AC%E9%9B%BB%E6%B1%A0%E6%B8%AC%E8%A9%A6%E5%84%80-HT-B100-21002360760154?itemId=21000692107396&vendorItemId=21004772542881&sourceType=search&rank=9&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
"HDtop 電池測試儀 模擬 HT-B100 + 數字 HT-B200, 1套",$214,https://www.tw.coupang.com/products/HDtop-%E9%9B%BB%E6%B1%A0%E6%B8%AC%E8%A9%A6%E5%84%80-%E6%A8%A1%E6%93%AC-HT-B100-%2B-%E6%95%B8%E5%AD%97-HT-B200-21000252234345?itemId=21000794863736&vendorItemId=21005017866593&sourceType=search&rank=10&searchId=165ac3a26e36405ebf6b232ce5c19f8d&q=%E9%9B%BB%E6%B1%A0%E6%B8%AC%E9%87%8F
