product_name,product_price,product_url
"aguard 電源插座保護蓋 120*79mm, 白色, 4個",$317,https://www.tw.coupang.com/products/aguard-%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7%E4%BF%9D%E8%AD%B7%E8%93%8B-120*79mm-247526879870982?itemId=247528633106444&vendorItemId=247527806844929&sourceType=search&rank=&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"Marketby HEIN 電線插座多接頭存儲整理器 NFM2240LD, 單色",$798,https://www.tw.coupang.com/products/Marketby-HEIN-%E9%9B%BB%E7%B7%9A%E6%8F%92%E5%BA%A7%E5%A4%9A%E6%8E%A5%E9%A0%AD%E5%AD%98%E5%84%B2%E6%95%B4%E7%90%86%E5%99%A8-NFM2240LD-21007032744438?itemId=21017361572861&vendorItemId=21086342153033&sourceType=search&rank=1&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"Kinton 車載插孔多插座 KT-301, 3孔, 1個",$311,https://www.tw.coupang.com/products/Kinton-%E8%BB%8A%E8%BC%89%E6%8F%92%E5%AD%94%E5%A4%9A%E6%8F%92%E5%BA%A7-KT-301-21005715282234?itemId=21009541835212&vendorItemId=21076826555138&sourceType=search&rank=2&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"首頁 Planet Car 4 插腳多插座點煙器快速充電器 126W, CC90W, 黑色",$216,https://www.tw.coupang.com/products/%E9%A6%96%E9%A0%81-Planet-Car-4-%E6%8F%92%E8%85%B3%E5%A4%9A%E6%8F%92%E5%BA%A7%E9%BB%9E%E7%85%99%E5%99%A8%E5%BF%AB%E9%80%9F%E5%85%85%E9%9B%BB%E5%99%A8-126W-21007728051975?itemId=21020758776393&vendorItemId=21087828986914&sourceType=search&rank=3&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"Jeil ELC 插座 2-prong 垂直 白色，14.插座2區, 1個",$88,https://www.tw.coupang.com/products/Jeil-ELC-%E6%8F%92%E5%BA%A7-2-prong-%E5%9E%82%E7%9B%B4-%E7%99%BD%E8%89%B2%EF%BC%8C14.%E6%8F%92%E5%BA%A72%E5%8D%80-21007709491363?itemId=21011052551650&vendorItemId=21084980560538&sourceType=search&rank=4&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"CHEIL ELECTRIC 2孔電源插座 金屬灰, 1組",$140,https://www.tw.coupang.com/products/CHEIL-ELECTRIC-2%E5%AD%94%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7-%E9%87%91%E5%B1%AC%E7%81%B0-21000343988789?itemId=21001092835700&vendorItemId=21005609007938&sourceType=search&rank=5&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"CHEIL ELECTRIC 2孔電源插座 深灰色, 1個",$202,https://www.tw.coupang.com/products/CHEIL-ELECTRIC-2%E5%AD%94%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7-%E6%B7%B1%E7%81%B0%E8%89%B2-21000132064209?itemId=21000388431141&vendorItemId=21003944852471&sourceType=search&rank=6&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"CHEIL ELECTRIC 1孔電源插座 青銅色, 1個",$190,https://www.tw.coupang.com/products/CHEIL-ELECTRIC-1%E5%AD%94%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7-%E9%9D%92%E9%8A%85%E8%89%B2-21000186502604?itemId=21000533217499&vendorItemId=21004389341933&sourceType=search&rank=7&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"CHEIL ELECTRIC 2孔電源插座 深灰色, 1個",$233,https://www.tw.coupang.com/products/CHEIL-ELECTRIC-2%E5%AD%94%E9%9B%BB%E6%BA%90%E6%8F%92%E5%BA%A7-%E6%B7%B1%E7%81%B0%E8%89%B2-21000132064225?itemId=21000388431200&vendorItemId=21003944852637&sourceType=search&rank=8&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
"Jeil ELC 1 插座黑色 + 白色, 2個",$162,https://www.tw.coupang.com/products/Jeil-ELC-1-%E6%8F%92%E5%BA%A7%E9%BB%91%E8%89%B2-%2B-%E7%99%BD%E8%89%B2-21007187740567?itemId=21018141235008&vendorItemId=21085291743568&sourceType=search&rank=9&searchId=59ba4f9028644ccdad6ea4d0866ffbd3&q=%E9%9B%BB%E8%A1%A8%E6%8F%92%E5%BA%A7
