product_name,product_price,product_url
"ZEBRA THAILAND Century世紀笛音壼, 3L, 113513, 1個",$756,https://www.tw.coupang.com/products/ZEBRA-THAILAND-Century%E4%B8%96%E7%B4%80%E7%AC%9B%E9%9F%B3%E5%A3%BC-451582655184899?itemId=451582655135745&vendorItemId=451582650941442&sourceType=search&rank=&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"KCFriends C妹音樂組 19*20*8.5cm, 1組",$900,https://www.tw.coupang.com/products/KCFriends-C%E5%A6%B9%E9%9F%B3%E6%A8%82%E7%B5%84-19*20*8.5cm-214588654059524?itemId=214588654059525&vendorItemId=214587244756993&sourceType=search&rank=1&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"教師 STEAM 復古音樂盒留聲機製作 R-55, 1組",$141,https://www.tw.coupang.com/products/%E6%95%99%E5%B8%AB-STEAM-%E5%BE%A9%E5%8F%A4%E9%9F%B3%E6%A8%82%E7%9B%92%E7%95%99%E8%81%B2%E6%A9%9F%E8%A3%BD%E4%BD%9C-R-55-21006466481908?itemId=21014095756505&vendorItemId=21087430444069&sourceType=search&rank=2&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"唱歌的閃閃發光的朋友的播放工具, 混合顏色",$304,https://www.tw.coupang.com/products/%E5%94%B1%E6%AD%8C%E7%9A%84%E9%96%83%E9%96%83%E7%99%BC%E5%85%89%E7%9A%84%E6%9C%8B%E5%8F%8B%E7%9A%84%E6%92%AD%E6%94%BE%E5%B7%A5%E5%85%B7-21006702039003?itemId=21015527464942&vendorItemId=21082746682215&sourceType=search&rank=3&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"ARLAYQ小提琴靜音靜音, 黑色, 1個",$188,https://www.tw.coupang.com/products/ARLAYQ%E5%B0%8F%E6%8F%90%E7%90%B4%E9%9D%9C%E9%9F%B3%E9%9D%9C%E9%9F%B3-21006485333785?itemId=21014213448850&vendorItemId=21081458881296&sourceType=search&rank=4&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"Brandb 和聲鼓樂器組, 混色","$1,200",https://www.tw.coupang.com/products/Brandb-%E5%92%8C%E8%81%B2%E9%BC%93%E6%A8%82%E5%99%A8%E7%B5%84-21000100493897?itemId=21000306858331&vendorItemId=21003756786025&sourceType=search&rank=5&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"MAXTILL PC條形音箱, SB-500, 混色",$485,https://www.tw.coupang.com/products/MAXTILL-PC%E6%A2%9D%E5%BD%A2%E9%9F%B3%E7%AE%B1-21008035058666?itemId=21022478438415&vendorItemId=21089520991561&sourceType=search&rank=6&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"DIY音樂盒製作留聲機, 混色",$148,https://www.tw.coupang.com/products/DIY%E9%9F%B3%E6%A8%82%E7%9B%92%E8%A3%BD%E4%BD%9C%E7%95%99%E8%81%B2%E6%A9%9F-21007351025301?itemId=21018916386968&vendorItemId=21086043618612&sourceType=search&rank=7&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"YMO 軟兩音 MagSafe 智慧通話, 淡紫色+紅色, 1個",$417,https://www.tw.coupang.com/products/YMO-%E8%BB%9F%E5%85%A9%E9%9F%B3-MagSafe-%E6%99%BA%E6%85%A7%E9%80%9A%E8%A9%B1-21007544242122?itemId=21019839419518&vendorItemId=21086940983937&sourceType=search&rank=8&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"SOFTIC Softik Plus 發音校正練習器, 10000",$461,https://www.tw.coupang.com/products/SOFTIC-Softik-Plus-%E7%99%BC%E9%9F%B3%E6%A0%A1%E6%AD%A3%E7%B7%B4%E7%BF%92%E5%99%A8-21000040732071?itemId=21000148985418&vendorItemId=21079720214074&sourceType=search&rank=9&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"SSRBOOK 兒童訓民正音4-2, 詩歌",$172,https://www.tw.coupang.com/products/SSRBOOK-%E5%85%92%E7%AB%A5%E8%A8%93%E6%B0%91%E6%AD%A3%E9%9F%B34-2-21000127302711?itemId=21000400488031&vendorItemId=21003975749393&sourceType=search&rank=10&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"Keepsanding 復古音樂八音盒隨機曲目, 單一顏色",$695,https://www.tw.coupang.com/products/Keepsanding-%E5%BE%A9%E5%8F%A4%E9%9F%B3%E6%A8%82%E5%85%AB%E9%9F%B3%E7%9B%92%E9%9A%A8%E6%A9%9F%E6%9B%B2%E7%9B%AE-21006994771769?itemId=21017131263995&vendorItemId=21084304383967&sourceType=search&rank=11&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"OZ TOY 搖海聲樂器套組, 隨機出貨",$346,https://www.tw.coupang.com/products/OZ-TOY-%E6%90%96%E6%B5%B7%E8%81%B2%E6%A8%82%E5%99%A8%E5%A5%97%E7%B5%84-21000032794732?itemId=21000123306380&vendorItemId=21003250907267&sourceType=search&rank=12&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"Teachers Steam 聲音與音樂科學實驗套件 4 件套, 1套",$996,https://www.tw.coupang.com/products/Teachers-Steam-%E8%81%B2%E9%9F%B3%E8%88%87%E9%9F%B3%E6%A8%82%E7%A7%91%E5%AD%B8%E5%AF%A6%E9%A9%97%E5%A5%97%E4%BB%B6-4-%E4%BB%B6%E5%A5%97-21006870310413?itemId=21016432875840&vendorItemId=21083623680396&sourceType=search&rank=13&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"MAXTILL 條形音箱 白色, SB-100",$363,https://www.tw.coupang.com/products/MAXTILL-%E6%A2%9D%E5%BD%A2%E9%9F%B3%E7%AE%B1-%E7%99%BD%E8%89%B2-21000345129501?itemId=21001096123071&vendorItemId=21004771811483&sourceType=search&rank=14&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"SSRBOOK 兒童訓民正音 5-1, 詩歌",$170,https://www.tw.coupang.com/products/SSRBOOK-%E5%85%92%E7%AB%A5%E8%A8%93%E6%B0%91%E6%AD%A3%E9%9F%B3-5-1-21000190760775?itemId=21000545267245&vendorItemId=21004590639347&sourceType=search&rank=15&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"JOYTRON TSG 人聲樂器錄音動圈話筒, DM200P",$720,https://www.tw.coupang.com/products/JOYTRON-TSG-%E4%BA%BA%E8%81%B2%E6%A8%82%E5%99%A8%E9%8C%84%E9%9F%B3%E5%8B%95%E5%9C%88%E8%A9%B1%E7%AD%92-21006394147145?itemId=21013644729487&vendorItemId=21080897370728&sourceType=search&rank=16&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"EDUPLAYER EA30 CD播放器遙控器 206840, 單一顏色, ED309",$276,https://www.tw.coupang.com/products/EDUPLAYER-EA30-CD%E6%92%AD%E6%94%BE%E5%99%A8%E9%81%99%E6%8E%A7%E5%99%A8-206840-21006211486963?itemId=21012383267356&vendorItemId=21079652961002&sourceType=search&rank=17&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
"SSRBOOK 兒童訓民正音4-1, 詩歌, 兒童訓民正音系列",$170,https://www.tw.coupang.com/products/SSRBOOK-%E5%85%92%E7%AB%A5%E8%A8%93%E6%B0%91%E6%AD%A3%E9%9F%B34-1-21000073142678?itemId=21000243777207&vendorItemId=21003599856037&sourceType=search&rank=18&searchId=205d96b8ed4d4ef49887625ccfc9c212&q=%E9%9F%B3%E7%A8%8B%E6%95%88%E6%9E%9C%E5%99%A8
