product_name,product_price,product_url
"CLEAR 淨 去屑洗髮乳 清爽控油型, 750g, 1瓶",$142,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E6%B8%85%E7%88%BD%E6%8E%A7%E6%B2%B9%E5%9E%8B-257317807308814?itemId=257318683901966&vendorItemId=257317807308810&sourceType=search&rank=&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 去屑洗髮乳 冰恬薄荷止癢型, 750g, 1瓶",$142,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E5%86%B0%E6%81%AC%E8%96%84%E8%8D%B7%E6%AD%A2%E7%99%A2%E5%9E%8B-171873123926017?itemId=171872155025409&vendorItemId=171872155025408&sourceType=search&rank=1&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 冰爽薄荷止癢型 去屑洗髮乳, 750g, 1瓶",$139,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%86%B0%E7%88%BD%E8%96%84%E8%8D%B7%E6%AD%A2%E7%99%A2%E5%9E%8B-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-257318683901965?itemId=257316830003214&vendorItemId=257318683901956&sourceType=search&rank=2&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 頭皮護理香氛去屑洗髮乳 法式鳶尾花香, 750g, 2瓶",$197,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E9%A0%AD%E7%9A%AE%E8%AD%B7%E7%90%86%E9%A6%99%E6%B0%9B%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E6%B3%95%E5%BC%8F%E9%B3%B6%E5%B0%BE%E8%8A%B1%E9%A6%99-257317832474632?itemId=258456304992339&vendorItemId=258456304992285&sourceType=search&rank=3&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 頭皮護理 香氛去屑洗髮乳, 日式櫻花香, 750g, 1瓶",$139,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E9%A0%AD%E7%9A%AE%E8%AD%B7%E7%90%86-%E9%A6%99%E6%B0%9B%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-257318709067777?itemId=257316850974727&vendorItemId=257318704873473&sourceType=search&rank=4&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 洗髮乳 控油平衡型, 750g, 1瓶",$139,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E6%B4%97%E9%AB%AE%E4%B9%B3-%E6%8E%A7%E6%B2%B9%E5%B9%B3%E8%A1%A1%E5%9E%8B-259933874405380?itemId=259932880322565&vendorItemId=259934763581443&sourceType=search&rank=5&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 洗髮乳 深層淨碳, 750g, 1瓶",$142,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E6%B4%97%E9%AB%AE%E4%B9%B3-%E6%B7%B1%E5%B1%A4%E6%B7%A8%E7%A2%B3-257317811503104?itemId=257318683901972&vendorItemId=257318683901969&sourceType=search&rank=6&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 冰爽薄荷止癢型 去屑洗髮乳, 750g, 2瓶",$278,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%86%B0%E7%88%BD%E8%96%84%E8%8D%B7%E6%AD%A2%E7%99%A2%E5%9E%8B-%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-257318683901965?itemId=258455323492373&vendorItemId=258457189974038&sourceType=search&rank=7&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 頭皮護理香氛去屑洗髮乳 法式鳶尾花香, 750g, 1瓶",$139,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E9%A0%AD%E7%9A%AE%E8%AD%B7%E7%90%86%E9%A6%99%E6%B0%9B%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E6%B3%95%E5%BC%8F%E9%B3%B6%E5%B0%BE%E8%8A%B1%E9%A6%99-257317832474632?itemId=257318709067776&vendorItemId=255870864670723&sourceType=search&rank=8&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
"CLEAR 淨 女士去屑洗髮乳 多效水護型, 750ml, 2瓶",$278,https://www.tw.coupang.com/products/CLEAR-%E6%B7%A8-%E5%A5%B3%E5%A3%AB%E5%8E%BB%E5%B1%91%E6%B4%97%E9%AB%AE%E4%B9%B3-%E5%A4%9A%E6%95%88%E6%B0%B4%E8%AD%B7%E5%9E%8B-270011063025665?itemId=400879496675336&vendorItemId=400879496675332&sourceType=search&rank=9&searchId=2d9fb0096267480cbc95bd10e88302a1&q=%E9%A0%AD%E7%9A%AE%E6%B7%A8
