product_name,product_price,product_url
"COCOLO 童顏滴肌菁 經典版 滋潤型, 30ml, 1瓶","$1,267",https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-%E7%B6%93%E5%85%B8%E7%89%88-%E6%BB%8B%E6%BD%A4%E5%9E%8B-154435518955535?itemId=154434730409998&vendorItemId=154435133095942&sourceType=search&rank=&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"COCOLO 童顏滴肌菁, 10ml, 1瓶",$399,https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-154435133095953?itemId=154435133095954&vendorItemId=154434730409991&sourceType=search&rank=1&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"COCOLO 童顏滴肌菁 櫻花版 清爽型, 30ml, 1瓶","$1,680",https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-%E6%AB%BB%E8%8A%B1%E7%89%88-%E6%B8%85%E7%88%BD%E5%9E%8B-159424601604096?itemId=159424601604097&vendorItemId=154435518955521&sourceType=search&rank=2&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"CHIFURE 濃密美肌保濕凝霜, 108g, 1罐",$237,https://www.tw.coupang.com/products/CHIFURE-%E6%BF%83%E5%AF%86%E7%BE%8E%E8%82%8C%E4%BF%9D%E6%BF%95%E5%87%9D%E9%9C%9C-283088902914050?itemId=283086877048846&vendorItemId=283086877048843&sourceType=search&rank=3&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"COCOLO 童顏滴肌菁 YURI聯名款, 30ml, 1瓶","$1,267",https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-YURI%E8%81%AF%E5%90%8D%E6%AC%BE-154435133095957?itemId=154435523149824&vendorItemId=154435518955534&sourceType=search&rank=4&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"COCOLO 童顏滴肌菁 限定版 滋潤型, 30ml, 1瓶","$1,680",https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-%E9%99%90%E5%AE%9A%E7%89%88-%E6%BB%8B%E6%BD%A4%E5%9E%8B-154434734604291?itemId=154435133095956&vendorItemId=154435518955533&sourceType=search&rank=5&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"NATURE TREE 自然樹 肌活透光水乳液, 50ml, 1瓶",$629,https://www.tw.coupang.com/products/NATURE-TREE-%E8%87%AA%E7%84%B6%E6%A8%B9-%E8%82%8C%E6%B4%BB%E9%80%8F%E5%85%89%E6%B0%B4%E4%B9%B3%E6%B6%B2-151911600734224?itemId=151911978205203&vendorItemId=151911214825476&sourceType=search&rank=6&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"ETUDE 純晶強護平衡乳霜, 60ml, 1條",$168,https://www.tw.coupang.com/products/ETUDE-%E7%B4%94%E6%99%B6%E5%BC%B7%E8%AD%B7%E5%B9%B3%E8%A1%A1%E4%B9%B3%E9%9C%9C-149635641344002?itemId=149635276455938&vendorItemId=149635276455937&sourceType=search&rank=7&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"COCOLO 童顏滴肌菁 富士櫻花版 滋潤型, 30ml, 2瓶","$2,332",https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-%E5%AF%8C%E5%A3%AB%E6%AB%BB%E8%8A%B1%E7%89%88-%E6%BB%8B%E6%BD%A4%E5%9E%8B-159449847152640?itemId=321494794076171&vendorItemId=321494794043395&sourceType=search&rank=8&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"Reto 3+1 EXP甘養活力霜 聖毒少養 柔膚型, 60g, 1條",$287,https://www.tw.coupang.com/products/Reto-3%2B1-EXP%E7%94%98%E9%A4%8A%E6%B4%BB%E5%8A%9B%E9%9C%9C-%E8%81%96%E6%AF%92%E5%B0%91%E9%A4%8A-%E6%9F%94%E8%86%9A%E5%9E%8B-192771251978240?itemId=192772438982656&vendorItemId=192771872768000&sourceType=search&rank=9&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"COCOLO 童顏滴肌菁 清爽型, 30ml, 1瓶","$1,267",https://www.tw.coupang.com/products/COCOLO-%E7%AB%A5%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81-%E6%B8%85%E7%88%BD%E5%9E%8B-154435133095940?itemId=154435518955525&vendorItemId=154435133095936&sourceType=search&rank=10&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
"PSK 深海美肌專家 深海源萃水潤舒芙霜 嘟嘟霜 Intensive Hydra Cream, 30ml, 1罐",$548,https://www.tw.coupang.com/products/PSK-%E6%B7%B1%E6%B5%B7%E7%BE%8E%E8%82%8C%E5%B0%88%E5%AE%B6-%E6%B7%B1%E6%B5%B7%E6%BA%90%E8%90%83%E6%B0%B4%E6%BD%A4%E8%88%92%E8%8A%99%E9%9C%9C-%E5%98%9F%E5%98%9F%E9%9C%9C-Intensive-Hydra-Cream-162454965288960?itemId=162454092857345&vendorItemId=162454537486336&sourceType=search&rank=11&searchId=353ac56fd8be4445bc076f99667681bd&q=%E9%A1%8F%E6%BB%B4%E8%82%8C%E8%8F%81
