product_name,product_price,product_url
"LION 獅王 休足時間 清涼舒緩貼片, 18片, 1盒",$132,https://www.tw.coupang.com/products/LION-%E7%8D%85%E7%8E%8B-%E4%BC%91%E8%B6%B3%E6%99%82%E9%96%93-%E6%B8%85%E6%B6%BC%E8%88%92%E7%B7%A9%E8%B2%BC%E7%89%87-274029785104386?itemId=274030737195011&vendorItemId=274030737195008&sourceType=search&rank=&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"葡萄王 夜極薑黃複方膠囊, 100顆, 1盒",$526,https://www.tw.coupang.com/products/%E8%91%A1%E8%90%84%E7%8E%8B-%E5%A4%9C%E6%A5%B5%E8%96%91%E9%BB%83%E8%A4%87%E6%96%B9%E8%86%A0%E5%9B%8A-162041289457664?itemId=162041289457665&vendorItemId=162042157694976&sourceType=search&rank=1&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"3M 矽膠護眼貼 未滅菌 5 x 6cm, 50片, 1盒",$518,https://www.tw.coupang.com/products/3M-%E7%9F%BD%E8%86%A0%E8%AD%B7%E7%9C%BC%E8%B2%BC-%E6%9C%AA%E6%BB%85%E8%8F%8C-5-x-6cm-156522973741058?itemId=156523367989271&vendorItemId=156262897500161&sourceType=search&rank=2&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 索引貼套裝 多功能標籤貼 復古色, 6包",$96,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-%E7%B4%A2%E5%BC%95%E8%B2%BC%E5%A5%97%E8%A3%9D-%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%A8%99%E7%B1%A4%E8%B2%BC-%E5%BE%A9%E5%8F%A4%E8%89%B2-292893541482498?itemId=248234194731014&vendorItemId=248234190536719&sourceType=search&rank=3&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"FLEX PASTE 飛速防水補洞橡膠膏 白色 454g, 1罐",$362,https://www.tw.coupang.com/products/FLEX-PASTE-%E9%A3%9B%E9%80%9F%E9%98%B2%E6%B0%B4%E8%A3%9C%E6%B4%9E%E6%A9%A1%E8%86%A0%E8%86%8F-%E7%99%BD%E8%89%B2-454g-154075404402701?itemId=154074620051469&vendorItemId=154075018543107&sourceType=search&rank=4&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"FLEX PASTE 飛速防水補洞橡膠膏 黑色 454g, 1罐",$379,https://www.tw.coupang.com/products/FLEX-PASTE-%E9%A3%9B%E9%80%9F%E9%98%B2%E6%B0%B4%E8%A3%9C%E6%B4%9E%E6%A9%A1%E8%86%A0%E8%86%8F-%E9%BB%91%E8%89%B2-454g-154074620051468?itemId=154075018543120&vendorItemId=154075404402688&sourceType=search&rank=5&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Fashina 飛詩娜 絕美自黏髮捲大, 6.3*3.5*3.5cm, 2入, 3包",$74,https://www.tw.coupang.com/products/Fashina-%E9%A3%9B%E8%A9%A9%E5%A8%9C-%E7%B5%95%E7%BE%8E%E8%87%AA%E9%BB%8F%E9%AB%AE%E6%8D%B2%E5%A4%A7-277599494307843?itemId=390364347203595&vendorItemId=390364347203589&sourceType=search&rank=6&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Ilyang 一洋藥品 舒緩肌肉磁力貼 1500高斯, 1組, 60入",$428,https://www.tw.coupang.com/products/Ilyang-%E4%B8%80%E6%B4%8B%E8%97%A5%E5%93%81-%E8%88%92%E7%B7%A9%E8%82%8C%E8%82%89%E7%A3%81%E5%8A%9B%E8%B2%BC-1500%E9%AB%98%E6%96%AF-21005148496166?itemId=21007070373693&vendorItemId=21074362448730&sourceType=search&rank=7&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"V-tech 修補衣服魔術貼 2入, 單品, 1盒",$94,https://www.tw.coupang.com/products/V-tech-%E4%BF%AE%E8%A3%9C%E8%A1%A3%E6%9C%8D%E9%AD%94%E8%A1%93%E8%B2%BC-2%E5%85%A5-21000001749958?itemId=21000007637973&vendorItemId=21003001203866&sourceType=search&rank=8&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"mellow 讚美貼紙組 交通工具款, 混色, 2組",$193,https://www.tw.coupang.com/products/mellow-%E8%AE%9A%E7%BE%8E%E8%B2%BC%E7%B4%99%E7%B5%84-%E4%BA%A4%E9%80%9A%E5%B7%A5%E5%85%B7%E6%AC%BE-21000208399508?itemId=21000618259166&vendorItemId=21004622026465&sourceType=search&rank=9&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"順天本草 金智慧王A+膠囊, 60顆, 2盒","$1,106",https://www.tw.coupang.com/products/%E9%A0%86%E5%A4%A9%E6%9C%AC%E8%8D%89-%E9%87%91%E6%99%BA%E6%85%A7%E7%8E%8BA%2B%E8%86%A0%E5%9B%8A-286732167626760?itemId=416166174457870&vendorItemId=416166174474251&sourceType=search&rank=10&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Shinshin Pharm 肌肉疼痛緩解磁貼 1500, 60件, 2個",$506,https://www.tw.coupang.com/products/Shinshin-Pharm-%E8%82%8C%E8%82%89%E7%96%BC%E7%97%9B%E7%B7%A9%E8%A7%A3%E7%A3%81%E8%B2%BC-1500-21006065314463?itemId=21018040287388&vendorItemId=21085194626396&sourceType=search&rank=11&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 多款式 POP 5 索引貼 #60596, 6盒",$300,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-%E5%A4%9A%E6%AC%BE%E5%BC%8F-POP-5-%E7%B4%A2%E5%BC%95%E8%B2%BC-%2360596-176168812658690?itemId=220714325999624&vendorItemId=220712849588226&sourceType=search&rank=12&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Bon 牆壁修復補丁貼片 15.2*15.2cm, 1個",$243,https://www.tw.coupang.com/products/Bon-%E7%89%86%E5%A3%81%E4%BF%AE%E5%BE%A9%E8%A3%9C%E4%B8%81%E8%B2%BC%E7%89%87-15.2*15.2cm-21000141597883?itemId=21000412393027&vendorItemId=21004011388314&sourceType=search&rank=13&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"isoi 緊急補丁 60p + 緊急點 2p, 2組",$475,https://www.tw.coupang.com/products/isoi-%E7%B7%8A%E6%80%A5%E8%A3%9C%E4%B8%81-60p-%2B-%E7%B7%8A%E6%80%A5%E9%BB%9E-2p-21002156497418?itemId=21019177771769&vendorItemId=21086295730648&sourceType=search&rank=14&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"spiell 仙人掌補丁貼, 3片, 混色",$102,https://www.tw.coupang.com/products/spiell-%E4%BB%99%E4%BA%BA%E6%8E%8C%E8%A3%9C%E4%B8%81%E8%B2%BC-21000072985958?itemId=21000243283855&vendorItemId=21003598761219&sourceType=search&rank=15&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"DAESANG 大象 吞嚥障礙者用食物增稠劑, 3g, 90入",$800,https://www.tw.coupang.com/products/DAESANG-%E5%A4%A7%E8%B1%A1-%E5%90%9E%E5%9A%A5%E9%9A%9C%E7%A4%99%E8%80%85%E7%94%A8%E9%A3%9F%E7%89%A9%E5%A2%9E%E7%A8%A0%E5%8A%91-21006260479738?itemId=21012743994202&vendorItemId=21080010347477&sourceType=search&rank=16&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"醇厚媽媽Kkoko讚美貼, 混色, 1個",$174,https://www.tw.coupang.com/products/%E9%86%87%E5%8E%9A%E5%AA%BD%E5%AA%BDKkoko%E8%AE%9A%E7%BE%8E%E8%B2%BC-21000104111689?itemId=21000315885169&vendorItemId=21003775853451&sourceType=search&rank=17&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 多款式 POP 5 索引貼, #60593, 6組",$300,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-%E5%A4%9A%E6%AC%BE%E5%BC%8F-POP-5-%E7%B4%A2%E5%BC%95%E8%B2%BC-176169051717641?itemId=221752151982094&vendorItemId=221752932155394&sourceType=search&rank=18&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
50金特供你貼,$167,https://www.tw.coupang.com/products/50%E9%87%91%E7%89%B9%E4%BE%9B%E4%BD%A0%E8%B2%BC-21000002405224?itemId=21000011064443&vendorItemId=21003016638720&sourceType=search&rank=19&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Mellow Universe系列讚美貼紙2p套組, 飛船, 1套",$190,https://www.tw.coupang.com/products/Mellow-Universe%E7%B3%BB%E5%88%97%E8%AE%9A%E7%BE%8E%E8%B2%BC%E7%B4%992p%E5%A5%97%E7%B5%84-21000106478645?itemId=21000321902931&vendorItemId=21003788296154&sourceType=search&rank=20&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 多款式 POP 5 索引貼 #60591, 6組",$300,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-%E5%A4%9A%E6%AC%BE%E5%BC%8F-POP-5-%E7%B4%A2%E5%BC%95%E8%B2%BC-%2360591-176168561000452?itemId=220675318972422&vendorItemId=220674622734337&sourceType=search&rank=21&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 POP 5 索引貼 多款式 #60594, 6組",$300,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-POP-5-%E7%B4%A2%E5%BC%95%E8%B2%BC-%E5%A4%9A%E6%AC%BE%E5%BC%8F-%2360594-176169810886658?itemId=227932005941291&vendorItemId=227932005941265&sourceType=search&rank=22&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Withwell USB熱敏眼貼SY-1003, SY-1003",$513,https://www.tw.coupang.com/products/Withwell-USB%E7%86%B1%E6%95%8F%E7%9C%BC%E8%B2%BCSY-1003-21008135434128?itemId=21023108991453&vendorItemId=21070886412617&sourceType=search&rank=23&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Ilyang 一洋藥品 肌肉舒緩磁力貼 1300高斯, 1盒, 30枚",$318,https://www.tw.coupang.com/products/Ilyang-%E4%B8%80%E6%B4%8B%E8%97%A5%E5%93%81-%E8%82%8C%E8%82%89%E8%88%92%E7%B7%A9%E7%A3%81%E5%8A%9B%E8%B2%BC-1300%E9%AB%98%E6%96%AF-21006882856844?itemId=21016499437212&vendorItemId=21071230658573&sourceType=search&rank=24&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"808不干膠人造革修復改造補丁貼紙2p, 卡其色",$418,https://www.tw.coupang.com/products/808%E4%B8%8D%E5%B9%B2%E8%86%A0%E4%BA%BA%E9%80%A0%E9%9D%A9%E4%BF%AE%E5%BE%A9%E6%94%B9%E9%80%A0%E8%A3%9C%E4%B8%81%E8%B2%BC%E7%B4%992p-21007164187083?itemId=21018035660131&vendorItemId=21085190118633&sourceType=search&rank=25&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"ATEX 肌肉痠痛磁力貼 圓形 80入+長方形 12入, 2套","$1,176",https://www.tw.coupang.com/products/ATEX-%E8%82%8C%E8%82%89%E7%97%A0%E7%97%9B%E7%A3%81%E5%8A%9B%E8%B2%BC-%E5%9C%93%E5%BD%A2-80%E5%85%A5%2B%E9%95%B7%E6%96%B9%E5%BD%A2-12%E5%85%A5-21006593355994?itemId=21018039269673&vendorItemId=21085193623291&sourceType=search&rank=26&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Kracie 葵緹亞 epilat除毛貼片, 14入, 1盒",$174,https://www.tw.coupang.com/products/Kracie-%E8%91%B5%E7%B7%B9%E4%BA%9E-epilat%E9%99%A4%E6%AF%9B%E8%B2%BC%E7%89%87-276477148872707?itemId=276477148872708&vendorItemId=276477144678404&sourceType=search&rank=27&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"貼紙嘿祝你好運, 黑色",$116,https://www.tw.coupang.com/products/%E8%B2%BC%E7%B4%99%E5%98%BF%E7%A5%9D%E4%BD%A0%E5%A5%BD%E9%81%8B-21000001757175?itemId=21000007682315&vendorItemId=21003010387063&sourceType=search&rank=28&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"醇厚的讚美貼紙 6p + 版暑假 3 種 x 2p 套組, 河馬、鸚鵡、水獺, 1套",$616,https://www.tw.coupang.com/products/%E9%86%87%E5%8E%9A%E7%9A%84%E8%AE%9A%E7%BE%8E%E8%B2%BC%E7%B4%99-6p-%2B-%E7%89%88%E6%9A%91%E5%81%87-3-%E7%A8%AE-x-2p-%E5%A5%97%E7%B5%84-21001868797611?itemId=21003176316178&vendorItemId=21071163787050&sourceType=search&rank=29&searchId=ef226a2f44e443d48817ba4d678b1d10&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"Artex 肌肉貼膠帶磁性貼片硬幣型 80p + 關節型 6p + 補充裝 6p, 1套","$1,154",https://www.tw.coupang.com/products/Artex-%E8%82%8C%E8%82%89%E8%B2%BC%E8%86%A0%E5%B8%B6%E7%A3%81%E6%80%A7%E8%B2%BC%E7%89%87%E7%A1%AC%E5%B9%A3%E5%9E%8B-80p-%2B-%E9%97%9C%E7%AF%80%E5%9E%8B-6p-%2B-%E8%A3%9C%E5%85%85%E8%A3%9D-6p-21006962001309?itemId=21016952521487&vendorItemId=21084129862835&sourceType=search&rank=&searchId=3a68b08a06704b89aebfd1ce09a06cb4&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 多款式 POP 5 便利貼 6色 #60595, 6組",$300,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-%E5%A4%9A%E6%AC%BE%E5%BC%8F-POP-5-%E4%BE%BF%E5%88%A9%E8%B2%BC-6%E8%89%B2-%2360595-176168561000449?itemId=227993666404372&vendorItemId=227995218313217&sourceType=search&rank=1&searchId=3a68b08a06704b89aebfd1ce09a06cb4&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"德德小品集 多款式索引貼 F4425-3, 6包",$312,https://www.tw.coupang.com/products/%E5%BE%B7%E5%BE%B7%E5%B0%8F%E5%93%81%E9%9B%86-%E5%A4%9A%E6%AC%BE%E5%BC%8F%E7%B4%A2%E5%BC%95%E8%B2%BC-F4425-3-176169299197952?itemId=227932819669017&vendorItemId=227932819669013&sourceType=search&rank=2&searchId=3a68b08a06704b89aebfd1ce09a06cb4&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
"mellow 北極熊讚美貼紙, 快樂的, 2套",$197,https://www.tw.coupang.com/products/mellow-%E5%8C%97%E6%A5%B5%E7%86%8A%E8%AE%9A%E7%BE%8E%E8%B2%BC%E7%B4%99-21000208399584?itemId=21000618259908&vendorItemId=21004622027439&sourceType=search&rank=3&searchId=3a68b08a06704b89aebfd1ce09a06cb4&q=%E9%A3%9B%E6%97%8B%E8%B2%BC
