product_name,product_price,product_url
"High Tea 禧橙饗紅 皇家騎士茶, 3g, 8包, 4盒",$618,https://www.tw.coupang.com/products/High-Tea-%E7%A6%A7%E6%A9%99%E9%A5%97%E7%B4%85-%E7%9A%87%E5%AE%B6%E9%A8%8E%E5%A3%AB%E8%8C%B6-162465413283842?itemId=417230315520011&vendorItemId=417230315552775&sourceType=search&rank=&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"High Tea 禧橙饗紅 皇家騎士茶, 3g, 8包, 3盒",$464,https://www.tw.coupang.com/products/High-Tea-%E7%A6%A7%E6%A9%99%E9%A5%97%E7%B4%85-%E7%9A%87%E5%AE%B6%E9%A8%8E%E5%A3%AB%E8%8C%B6-162465413283842?itemId=417230315520007&vendorItemId=417230315536389&sourceType=search&rank=1&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"High Tea 禧橙饗紅 皇家騎士茶, 3g, 8包, 2盒",$309,https://www.tw.coupang.com/products/High-Tea-%E7%A6%A7%E6%A9%99%E9%A5%97%E7%B4%85-%E7%9A%87%E5%AE%B6%E9%A8%8E%E5%A3%AB%E8%8C%B6-162465413283842?itemId=200010687791113&vendorItemId=200010683596836&sourceType=search&rank=2&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"High Tea 禧橙饗紅 皇家騎士茶, 3g, 8包, 1盒",$154,https://www.tw.coupang.com/products/High-Tea-%E7%A6%A7%E6%A9%99%E9%A5%97%E7%B4%85-%E7%9A%87%E5%AE%B6%E9%A8%8E%E5%A3%AB%E8%8C%B6-162465413283842?itemId=162465857912835&vendorItemId=162465857912832&sourceType=search&rank=3&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"High Tea 禧橙饗紅 皇家騎士茶, 3g, 8包, 5盒",$805,https://www.tw.coupang.com/products/High-Tea-%E7%A6%A7%E6%A9%99%E9%A5%97%E7%B4%85-%E7%9A%87%E5%AE%B6%E9%A8%8E%E5%A3%AB%E8%8C%B6-162465413283842?itemId=417230319714318&vendorItemId=417230319763463&sourceType=search&rank=4&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"LocknLock 樂扣樂扣 微笑騎士不鏽鋼隨行杯, 綠色, 540ml, 1個",$440,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BE%AE%E7%AC%91%E9%A8%8E%E5%A3%AB%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9A%A8%E8%A1%8C%E6%9D%AF-260610730180616?itemId=260612621828104&vendorItemId=260610730180610&sourceType=search&rank=5&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"LocknLock 樂扣樂扣 微笑騎士不鏽鋼隨行杯, 綠色, 540ml, 2個",$882,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BE%AE%E7%AC%91%E9%A8%8E%E5%A3%AB%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9A%A8%E8%A1%8C%E6%9D%AF-260610730180616?itemId=271400908587011&vendorItemId=271400908587008&sourceType=search&rank=6&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"BASILUR 1001騎士紅茶, 100克, 1個",$744,https://www.tw.coupang.com/products/BASILUR-1001%E9%A8%8E%E5%A3%AB%E7%B4%85%E8%8C%B6-21000331711564?itemId=21001059910319&vendorItemId=21005536809042&sourceType=search&rank=7&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
檸檬茶女式基本款皮革騎士夾克 lkf21341,$496,https://www.tw.coupang.com/products/%E6%AA%B8%E6%AA%AC%E8%8C%B6%E5%A5%B3%E5%BC%8F%E5%9F%BA%E6%9C%AC%E6%AC%BE%E7%9A%AE%E9%9D%A9%E9%A8%8E%E5%A3%AB%E5%A4%BE%E5%85%8B-lkf21341-21006106004143?itemId=21011475724838&vendorItemId=21078751079230&sourceType=search&rank=8&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
檸檬茶女式修身基本款騎士夾克 lkf21341,$503,https://www.tw.coupang.com/products/%E6%AA%B8%E6%AA%AC%E8%8C%B6%E5%A5%B3%E5%BC%8F%E4%BF%AE%E8%BA%AB%E5%9F%BA%E6%9C%AC%E6%AC%BE%E9%A8%8E%E5%A3%AB%E5%A4%BE%E5%85%8B-lkf21341-21006113107589?itemId=21011534564101&vendorItemId=21078809631094&sourceType=search&rank=9&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"LocknLock 樂扣樂扣 微笑騎士不鏽鋼隨行杯, 黃色, 540ml, 2個",$882,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BE%AE%E7%AC%91%E9%A8%8E%E5%A3%AB%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9A%A8%E8%A1%8C%E6%9D%AF-260610730180616?itemId=271088969826308&vendorItemId=271087917023232&sourceType=search&rank=10&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"LocknLock 樂扣樂扣 微笑騎士不鏽鋼隨行杯, 藍色, 540ml, 2個",$882,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BE%AE%E7%AC%91%E9%A8%8E%E5%A3%AB%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9A%A8%E8%A1%8C%E6%9D%AF-260610730180616?itemId=271065502695427&vendorItemId=271066446397440&sourceType=search&rank=11&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"LocknLock 樂扣樂扣 微笑騎士不鏽鋼隨行杯, 黃色, 540ml, 1個",$440,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BE%AE%E7%AC%91%E9%A8%8E%E5%A3%AB%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9A%A8%E8%A1%8C%E6%9D%AF-260610730180616?itemId=260611728457733&vendorItemId=260612621828096&sourceType=search&rank=12&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
"LocknLock 樂扣樂扣 微笑騎士不鏽鋼隨行杯, 藍色, 540ml, 1個",$440,https://www.tw.coupang.com/products/LocknLock-%E6%A8%82%E6%89%A3%E6%A8%82%E6%89%A3-%E5%BE%AE%E7%AC%91%E9%A8%8E%E5%A3%AB%E4%B8%8D%E9%8F%BD%E9%8B%BC%E9%9A%A8%E8%A1%8C%E6%9D%AF-260610730180616?itemId=260610730180620&vendorItemId=260612621828099&sourceType=search&rank=13&searchId=bc267824c9b043a0aa6df83cfb3b9b65&q=%E9%A8%8E%E5%A3%AB%E8%8C%B6
