product_name,product_price,product_url
"KINCHO 金鳥 防蚊掛片 150日 無臭, 1盒",$278,https://www.tw.coupang.com/products/KINCHO-%E9%87%91%E9%B3%A5-%E9%98%B2%E8%9A%8A%E6%8E%9B%E7%89%87-150%E6%97%A5-%E7%84%A1%E8%87%AD-163506343100421?itemId=163506775097349&vendorItemId=247949187563520&sourceType=search&rank=&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Raid 雷達 超智慧薄型液體電蚊香組 無臭無味 電蚊香器*1+補充瓶41ml*1, 1盒",$102,https://www.tw.coupang.com/products/Raid-%E9%9B%B7%E9%81%94-%E8%B6%85%E6%99%BA%E6%85%A7%E8%96%84%E5%9E%8B%E6%B6%B2%E9%AB%94%E9%9B%BB%E8%9A%8A%E9%A6%99%E7%B5%84-%E7%84%A1%E8%87%AD%E7%84%A1%E5%91%B3-%E9%9B%BB%E8%9A%8A%E9%A6%99%E5%99%A8*1%2B%E8%A3%9C%E5%85%85%E7%93%B641ml*1-261383383924741?itemId=261382381453317&vendorItemId=261383383924737&sourceType=search&rank=1&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"eggshell Verda 小鹿山丘 長效防蚊液 甜橙, 80g, 1瓶",$109,https://www.tw.coupang.com/products/eggshell-Verda-%E5%B0%8F%E9%B9%BF%E5%B1%B1%E4%B8%98-%E9%95%B7%E6%95%88%E9%98%B2%E8%9A%8A%E6%B6%B2-%E7%94%9C%E6%A9%99-257311599722499?itemId=257309741629452&vendorItemId=257310723129345&sourceType=search&rank=2&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"farcent 花仙子 防蚊香膏, 香茅薄荷, 200g, 3個",$121,https://www.tw.coupang.com/products/farcent-%E8%8A%B1%E4%BB%99%E5%AD%90-%E9%98%B2%E8%9A%8A%E9%A6%99%E8%86%8F-257312967065604?itemId=258099449380932&vendorItemId=258099449380887&sourceType=search&rank=3&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Raid 雷達 超智慧薄型液體電蚊香補充瓶 無臭無味 41ml x 4罐, 164ml, 1盒",$251,https://www.tw.coupang.com/products/Raid-%E9%9B%B7%E9%81%94-%E8%B6%85%E6%99%BA%E6%85%A7%E8%96%84%E5%9E%8B%E6%B6%B2%E9%AB%94%E9%9B%BB%E8%9A%8A%E9%A6%99%E8%A3%9C%E5%85%85%E7%93%B6-%E7%84%A1%E8%87%AD%E7%84%A1%E5%91%B3-41ml-x-4%E7%BD%90-261382381453319?itemId=261384281489412&vendorItemId=261384277295104&sourceType=search&rank=4&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Raid 雷達 超智慧薄型液體電蚊香組 電蚊香器*2+補充瓶41ml*2 無臭無味, 1組",$217,https://www.tw.coupang.com/products/Raid-%E9%9B%B7%E9%81%94-%E8%B6%85%E6%99%BA%E6%85%A7%E8%96%84%E5%9E%8B%E6%B6%B2%E9%AB%94%E9%9B%BB%E8%9A%8A%E9%A6%99%E7%B5%84-%E9%9B%BB%E8%9A%8A%E9%A6%99%E5%99%A8*2%2B%E8%A3%9C%E5%85%85%E7%93%B641ml*2-%E7%84%A1%E8%87%AD%E7%84%A1%E5%91%B3-261383383924746?itemId=261384281489415&vendorItemId=261382381453315&sourceType=search&rank=5&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"KINCHO 金鳥 防蚊掛片 150日 無臭, 3盒",$758,https://www.tw.coupang.com/products/KINCHO-%E9%87%91%E9%B3%A5-%E9%98%B2%E8%9A%8A%E6%8E%9B%E7%89%87-150%E6%97%A5-%E7%84%A1%E8%87%AD-163506343100421?itemId=286631022002176&vendorItemId=286628991942656&sourceType=search&rank=6&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"farcent 花仙子 小蚊清 植萃寶寶防蚊液, 100ml, 1瓶",$138,https://www.tw.coupang.com/products/farcent-%E8%8A%B1%E4%BB%99%E5%AD%90-%E5%B0%8F%E8%9A%8A%E6%B8%85-%E6%A4%8D%E8%90%83%E5%AF%B6%E5%AF%B6%E9%98%B2%E8%9A%8A%E6%B6%B2-158739134889988?itemId=158739965378590&vendorItemId=158739558547469&sourceType=search&rank=7&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"鱷魚 130天防蚊片 補充包, 5.7g, 1盒",$183,https://www.tw.coupang.com/products/%E9%B1%B7%E9%AD%9A-130%E5%A4%A9%E9%98%B2%E8%9A%8A%E7%89%87-%E8%A3%9C%E5%85%85%E5%8C%85-269969824628741?itemId=269971812745222&vendorItemId=269969824628737&sourceType=search&rank=8&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"鱷魚 免插電130天防蚊片, 1盒",$154,https://www.tw.coupang.com/products/%E9%B1%B7%E9%AD%9A-%E5%85%8D%E6%8F%92%E9%9B%BB130%E5%A4%A9%E9%98%B2%E8%9A%8A%E7%89%87-167110714032136?itemId=167110714032137&vendorItemId=167110714032128&sourceType=search&rank=9&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Raid 雷達 佳兒護 超智慧液體電蚊香 無臭無味 6個月以上寶寶適用, 超智慧電蚊香器+補充瓶45ml, 1組",$150,https://www.tw.coupang.com/products/Raid-%E9%9B%B7%E9%81%94-%E4%BD%B3%E5%85%92%E8%AD%B7-%E8%B6%85%E6%99%BA%E6%85%A7%E6%B6%B2%E9%AB%94%E9%9B%BB%E8%9A%8A%E9%A6%99-%E7%84%A1%E8%87%AD%E7%84%A1%E5%91%B3-6%E5%80%8B%E6%9C%88%E4%BB%A5%E4%B8%8A%E5%AF%B6%E5%AF%B6%E9%81%A9%E7%94%A8-261384281489409?itemId=261384281489410&vendorItemId=261384277295105&sourceType=search&rank=10&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Simba 小獅王辛巴 長效薰衣草精油防蚊貼 32片, 2盒",$193,https://www.tw.coupang.com/products/Simba-%E5%B0%8F%E7%8D%85%E7%8E%8B%E8%BE%9B%E5%B7%B4-%E9%95%B7%E6%95%88%E8%96%B0%E8%A1%A3%E8%8D%89%E7%B2%BE%E6%B2%B9%E9%98%B2%E8%9A%8A%E8%B2%BC-32%E7%89%87-244996615667713?itemId=288089003999240&vendorItemId=288090065190913&sourceType=search&rank=11&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"farcent 花仙子 小蚊清 植萃沁涼防蚊液, 100ml, 1瓶",$96,https://www.tw.coupang.com/products/farcent-%E8%8A%B1%E4%BB%99%E5%AD%90-%E5%B0%8F%E8%9A%8A%E6%B8%85-%E6%A4%8D%E8%90%83%E6%B2%81%E6%B6%BC%E9%98%B2%E8%9A%8A%E6%B6%B2-258375346536452?itemId=258376227323911&vendorItemId=258375346536451&sourceType=search&rank=12&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"SKIN TECHNOLOGY 瑞斌12H長效防蚊液, 50ml, 1盒",$321,https://www.tw.coupang.com/products/SKIN-TECHNOLOGY-%E7%91%9E%E6%96%8C12H%E9%95%B7%E6%95%88%E9%98%B2%E8%9A%8A%E6%B6%B2-257299838910477?itemId=257298857410575&vendorItemId=257298857410563&sourceType=search&rank=13&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"KINCHO 金鳥 防蚊掛片 150日 無臭, 2盒",$544,https://www.tw.coupang.com/products/KINCHO-%E9%87%91%E9%B3%A5-%E9%98%B2%E8%9A%8A%E6%8E%9B%E7%89%87-150%E6%97%A5-%E7%84%A1%E8%87%AD-163506343100421?itemId=286628991942658&vendorItemId=286628991942657&sourceType=search&rank=14&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Baan 貝恩 嬰兒防蚊貼片 25片, 2盒",$208,https://www.tw.coupang.com/products/Baan-%E8%B2%9D%E6%81%A9-%E5%AC%B0%E5%85%92%E9%98%B2%E8%9A%8A%E8%B2%BC%E7%89%87-25%E7%89%87-227551272222745?itemId=227552002015249&vendorItemId=227552002015248&sourceType=search&rank=15&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
"Raid 雷達 超智慧薄型液體電蚊香補充瓶4入組, 164ml, 1組",$260,https://www.tw.coupang.com/products/Raid-%E9%9B%B7%E9%81%94-%E8%B6%85%E6%99%BA%E6%85%A7%E8%96%84%E5%9E%8B%E6%B6%B2%E9%AB%94%E9%9B%BB%E8%9A%8A%E9%A6%99%E8%A3%9C%E5%85%85%E7%93%B64%E5%85%A5%E7%B5%84-261007729459201?itemId=261005833617408&vendorItemId=261006836088832&sourceType=search&rank=16&searchId=9cb7b3d470704cefbce36653179fbffc&q=%E9%A9%85%E8%9A%8A
