product_name,product_price,product_url
"NEUNGYULE 初級閱讀理解C級套組捉三隻兔子全2冊, 高效教育",$448,https://www.tw.coupang.com/products/NEUNGYULE-%E5%88%9D%E7%B4%9A%E9%96%B1%E8%AE%80%E7%90%86%E8%A7%A3C%E7%B4%9A%E5%A5%97%E7%B5%84%E6%8D%89%E4%B8%89%E9%9A%BB%E5%85%94%E5%AD%90%E5%85%A82%E5%86%8A-21006069660531?itemId=21011199967800&vendorItemId=21078477691068&sourceType=search&rank=&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"NEUNGYULE 初級閱讀理解A級集捉三隻兔子, 高效教育",$468,https://www.tw.coupang.com/products/NEUNGYULE-%E5%88%9D%E7%B4%9A%E9%96%B1%E8%AE%80%E7%90%86%E8%A7%A3A%E7%B4%9A%E9%9B%86%E6%8D%89%E4%B8%89%E9%9A%BB%E5%85%94%E5%AD%90-21006069660534?itemId=21011199967803&vendorItemId=21078477691078&sourceType=search&rank=1&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"jennyhouse 婕宜彩妝 松露緊緻面霜, 50ml, 1組",$806,https://www.tw.coupang.com/products/jennyhouse-%E5%A9%95%E5%AE%9C%E5%BD%A9%E5%A6%9D-%E6%9D%BE%E9%9C%B2%E7%B7%8A%E7%B7%BB%E9%9D%A2%E9%9C%9C-21007509944583?itemId=21000720130030&vendorItemId=21004821972708&sourceType=search&rank=2&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"FRUDIA 酪梨鎮靜保濕霜, 55克, 1個",$602,https://www.tw.coupang.com/products/FRUDIA-%E9%85%AA%E6%A2%A8%E9%8E%AE%E9%9D%9C%E4%BF%9D%E6%BF%95%E9%9C%9C-21000302325296?itemId=21000950996942&vendorItemId=21005344862611&sourceType=search&rank=3&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"Super mama Air Plus 吸乳器配件 吸乳罩, 1個",$298,https://www.tw.coupang.com/products/Super-mama-Air-Plus-%E5%90%B8%E4%B9%B3%E5%99%A8%E9%85%8D%E4%BB%B6-%E5%90%B8%E4%B9%B3%E7%BD%A9-235268221140993?itemId=235266593734668&vendorItemId=235268216946692&sourceType=search&rank=4&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"3M 高效級靜電空氣濾網, 9808-CTC, 22*34cm, 4片, 1包",$189,https://www.tw.coupang.com/products/3M-%E9%AB%98%E6%95%88%E7%B4%9A%E9%9D%9C%E9%9B%BB%E7%A9%BA%E6%B0%A3%E6%BF%BE%E7%B6%B2-202563357982725?itemId=202564033298436&vendorItemId=202564033298433&sourceType=search&rank=5&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"3M 高效級捲筒式靜電空氣濾網, 9808-RTC, 38*270cm, 1個",$548,https://www.tw.coupang.com/products/3M-%E9%AB%98%E6%95%88%E7%B4%9A%E6%8D%B2%E7%AD%92%E5%BC%8F%E9%9D%9C%E9%9B%BB%E7%A9%BA%E6%B0%A3%E6%BF%BE%E7%B6%B2-202564050075648?itemId=202564662427649&vendorItemId=202564662427648&sourceType=search&rank=6&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"Britz 空氣淨化除濕機 Q7 獨家 Hepa 過濾器 13 級 Hepa 過濾器 H13, 高效過濾器 H13",$372,https://www.tw.coupang.com/products/Britz-%E7%A9%BA%E6%B0%A3%E6%B7%A8%E5%8C%96%E9%99%A4%E6%BF%95%E6%A9%9F-Q7-%E7%8D%A8%E5%AE%B6-Hepa-%E9%81%8E%E6%BF%BE%E5%99%A8-13-%E7%B4%9A-Hepa-%E9%81%8E%E6%BF%BE%E5%99%A8-H13-21002281299568?itemId=21003917955092&vendorItemId=21071902493881&sourceType=search&rank=7&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"Dr.CHROMCELL 白金級緊緻面霜, 1條, 40ml",$925,https://www.tw.coupang.com/products/Dr.CHROMCELL-%E7%99%BD%E9%87%91%E7%B4%9A%E7%B7%8A%E7%B7%BB%E9%9D%A2%E9%9C%9C-21004389289982?itemId=21009340706213&vendorItemId=21076625982618&sourceType=search&rank=8&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"ULTRACLEAN 極淨適 75%酒精高防護抗菌濕巾, 12張, 7包",$137,https://www.tw.coupang.com/products/ULTRACLEAN-%E6%A5%B5%E6%B7%A8%E9%81%A9-75%25%E9%85%92%E7%B2%BE%E9%AB%98%E9%98%B2%E8%AD%B7%E6%8A%97%E8%8F%8C%E6%BF%95%E5%B7%BE-177598436950016?itemId=279083850104836&vendorItemId=279083850104832&sourceType=search&rank=9&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"船井生醫 6X活力瑪卡純精, 6瓶, 3盒","$1,299",https://www.tw.coupang.com/products/%E8%88%B9%E4%BA%95%E7%94%9F%E9%86%AB-6X%E6%B4%BB%E5%8A%9B%E7%91%AA%E5%8D%A1%E7%B4%94%E7%B2%BE-176545129775106?itemId=397255206977546&vendorItemId=397255206977543&sourceType=search&rank=10&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"船井生醫 6X活力瑪卡純精, 6瓶, 5盒","$2,365",https://www.tw.coupang.com/products/%E8%88%B9%E4%BA%95%E7%94%9F%E9%86%AB-6X%E6%B4%BB%E5%8A%9B%E7%91%AA%E5%8D%A1%E7%B4%94%E7%B2%BE-176545129775106?itemId=462831895953411&vendorItemId=462831895920641&sourceType=search&rank=11&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"船井生醫 6X活力瑪卡純精, 6瓶, 4盒","$1,832",https://www.tw.coupang.com/products/%E8%88%B9%E4%BA%95%E7%94%9F%E9%86%AB-6X%E6%B4%BB%E5%8A%9B%E7%91%AA%E5%8D%A1%E7%B4%94%E7%B2%BE-176545129775106?itemId=397255206993934&vendorItemId=397255206961160&sourceType=search&rank=12&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"船井生醫 6X活力瑪卡純精, 6瓶, 2盒",$766,https://www.tw.coupang.com/products/%E8%88%B9%E4%BA%95%E7%94%9F%E9%86%AB-6X%E6%B4%BB%E5%8A%9B%E7%91%AA%E5%8D%A1%E7%B4%94%E7%B2%BE-176545129775106?itemId=397255206993928&vendorItemId=397255206977541&sourceType=search&rank=13&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
"船井生醫 6X活力瑪卡純精, 6瓶, 1盒",$373,https://www.tw.coupang.com/products/%E8%88%B9%E4%BA%95%E7%94%9F%E9%86%AB-6X%E6%B4%BB%E5%8A%9B%E7%91%AA%E5%8D%A1%E7%B4%94%E7%B2%BE-176545129775106?itemId=176546149007363&vendorItemId=176545654095872&sourceType=search&rank=14&searchId=8af64022701049cb9fe5113ce6d1f4f0&q=%E9%AB%98%E6%95%88%E7%B4%9A
