product_name,product_price,product_url
"北海 鱈魚香絲, 51g, 3包",$94,https://www.tw.coupang.com/products/%E5%8C%97%E6%B5%B7-%E9%B1%88%E9%AD%9A%E9%A6%99%E7%B5%B2-244618083926020?itemId=358973853073418&vendorItemId=358973853106185&sourceType=search&rank=&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"TRITON 鱈魚嫩肝, 120g, 3罐",$151,https://www.tw.coupang.com/products/TRITON-%E9%B1%88%E9%AD%9A%E5%AB%A9%E8%82%9D-288090031636507?itemId=288090031636508&vendorItemId=288091004698626&sourceType=search&rank=1&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"banga 鱈魚肝, 115g, 1罐",$80,https://www.tw.coupang.com/products/banga-%E9%B1%88%E9%AD%9A%E8%82%9D-154720404471821?itemId=154720018612224&vendorItemId=153735955169280&sourceType=search&rank=2&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"OHGIYA 扇屋 鱈魚起司條, 115.2g, 1盒",$108,https://www.tw.coupang.com/products/OHGIYA-%E6%89%87%E5%B1%8B-%E9%B1%88%E9%AD%9A%E8%B5%B7%E5%8F%B8%E6%A2%9D-167063528128527?itemId=167063976902671&vendorItemId=230530066923538&sourceType=search&rank=3&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"惠香 鱈魚風味香條, 230g, 2包",$127,https://www.tw.coupang.com/products/%E6%83%A0%E9%A6%99-%E9%B1%88%E9%AD%9A%E9%A2%A8%E5%91%B3%E9%A6%99%E6%A2%9D-159064956846091?itemId=318533116313614&vendorItemId=318534567575563&sourceType=search&rank=4&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"台灣尋味錄 澎湖灣鱈魚香絲 海味炎燒, 80g, 3包",$88,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E9%B1%88%E9%AD%9A%E9%A6%99%E7%B5%B2-%E6%B5%B7%E5%91%B3%E7%82%8E%E7%87%92-234448800940069?itemId=392930908897284&vendorItemId=392930908930051&sourceType=search&rank=5&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"banga 鱈魚肝醬, 115g, 2罐",$137,https://www.tw.coupang.com/products/banga-%E9%B1%88%E9%AD%9A%E8%82%9D%E9%86%AC-199672220057651?itemId=384234648731652&vendorItemId=384234648698880&sourceType=search&rank=6&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"海洋館 小卷風味鐵板燒, 60g, 3包",$46,https://www.tw.coupang.com/products/%E6%B5%B7%E6%B4%8B%E9%A4%A8-%E5%B0%8F%E5%8D%B7%E9%A2%A8%E5%91%B3%E9%90%B5%E6%9D%BF%E7%87%92-164540259975168?itemId=371880091385860&vendorItemId=371880091402241&sourceType=search&rank=7&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"惠香 鱈魚風味蜜汁香片, 230g, 2包",$127,https://www.tw.coupang.com/products/%E6%83%A0%E9%A6%99-%E9%B1%88%E9%AD%9A%E9%A2%A8%E5%91%B3%E8%9C%9C%E6%B1%81%E9%A6%99%E7%89%87-200011216306190?itemId=318534592741396&vendorItemId=318535549026311&sourceType=search&rank=8&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
"台灣尋味錄 澎湖灣燒烤魚板, 60g, 3包",$88,https://www.tw.coupang.com/products/%E5%8F%B0%E7%81%A3%E5%B0%8B%E5%91%B3%E9%8C%84-%E6%BE%8E%E6%B9%96%E7%81%A3%E7%87%92%E7%83%A4%E9%AD%9A%E6%9D%BF-167425744011271?itemId=367548516253709&vendorItemId=367548516220935&sourceType=search&rank=9&searchId=5686e11ab10b4153813b54c449c2c9aa&q=%E9%B1%88%E9%AD%9A%E8%86%A0
