product_name,product_price,product_url
"SOFEI 舒妃 型色家 蓋白髮護髮染髮霜, 5/2 夜空紫, 1盒",$108,https://www.tw.coupang.com/products/SOFEI-%E8%88%92%E5%A6%83-%E5%9E%8B%E8%89%B2%E5%AE%B6-%E8%93%8B%E7%99%BD%E9%AB%AE%E8%AD%B7%E9%AB%AE%E6%9F%93%E9%AB%AE%E9%9C%9C-430522119471106?itemId=430522119438338&vendorItemId=430522119471105&sourceType=search&rank=&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"FARCOM 髮控 燙染專家洗髮露 燙染髮質修護, 1L, 1瓶",$372,https://www.tw.coupang.com/products/FARCOM-%E9%AB%AE%E6%8E%A7-%E7%87%99%E6%9F%93%E5%B0%88%E5%AE%B6%E6%B4%97%E9%AB%AE%E9%9C%B2-%E7%87%99%E6%9F%93%E9%AB%AE%E8%B3%AA%E4%BF%AE%E8%AD%B7-164524699140113?itemId=164525135331345&vendorItemId=164524699140101&sourceType=search&rank=1&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"MCG 米璽聚 彩色精靈鎖色靚露 愛麗絲奶茶, 300ml, 1瓶",$519,https://www.tw.coupang.com/products/MCG-%E7%B1%B3%E7%92%BD%E8%81%9A-%E5%BD%A9%E8%89%B2%E7%B2%BE%E9%9D%88%E9%8E%96%E8%89%B2%E9%9D%9A%E9%9C%B2-%E6%84%9B%E9%BA%97%E7%B5%B2%E5%A5%B6%E8%8C%B6-164193277804552?itemId=164193277804553&vendorItemId=164192388595713&sourceType=search&rank=2&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"Fashina 飛詩娜 絕美自黏髮捲大, 6.3*3.5*3.5cm, 2入, 3包",$74,https://www.tw.coupang.com/products/Fashina-%E9%A3%9B%E8%A9%A9%E5%A8%9C-%E7%B5%95%E7%BE%8E%E8%87%AA%E9%BB%8F%E9%AB%AE%E6%8D%B2%E5%A4%A7-277599494307843?itemId=390364347203595&vendorItemId=390364347203589&sourceType=search&rank=3&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"Yeoniland 女士迷你鏈條雲朵包, 黑色",$344,https://www.tw.coupang.com/products/Yeoniland-%E5%A5%B3%E5%A3%AB%E8%BF%B7%E4%BD%A0%E9%8F%88%E6%A2%9D%E9%9B%B2%E6%9C%B5%E5%8C%85-21007486097969?itemId=21019565996046&vendorItemId=21087695786755&sourceType=search&rank=4&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"L'OREAL PARiS 巴黎萊雅 絲漾博髮馭絲柔髮膜, 250ml, 1罐",$419,https://www.tw.coupang.com/products/L'OREAL-PARiS-%E5%B7%B4%E9%BB%8E%E8%90%8A%E9%9B%85-%E7%B5%B2%E6%BC%BE%E5%8D%9A%E9%AB%AE%E9%A6%AD%E7%B5%B2%E6%9F%94%E9%AB%AE%E8%86%9C-266432742916105?itemId=266430788354067&vendorItemId=266431820185623&sourceType=search&rank=5&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"SOFEI 舒妃 EX. 洋甘菊護髮染髮霜, 5/3 金銅棕, 1盒",$135,https://www.tw.coupang.com/products/SOFEI-%E8%88%92%E5%A6%83-EX.-%E6%B4%8B%E7%94%98%E8%8F%8A%E8%AD%B7%E9%AB%AE%E6%9F%93%E9%AB%AE%E9%9C%9C-430584379670528?itemId=430584379719680&vendorItemId=430584375508992&sourceType=search&rank=6&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"SORIDAL 星雲藤編夏季日常交叉包, 棕色",$380,https://www.tw.coupang.com/products/SORIDAL-%E6%98%9F%E9%9B%B2%E8%97%A4%E7%B7%A8%E5%A4%8F%E5%AD%A3%E6%97%A5%E5%B8%B8%E4%BA%A4%E5%8F%89%E5%8C%85-21008023935280?itemId=21022423459319&vendorItemId=21089468186329&sourceType=search&rank=7&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"Dazzleslim 黛若詩琳 5D水漾凝露, 150ml, 1瓶",$387,https://www.tw.coupang.com/products/Dazzleslim-%E9%BB%9B%E8%8B%A5%E8%A9%A9%E7%90%B3-5D%E6%B0%B4%E6%BC%BE%E5%87%9D%E9%9C%B2-158795992907782?itemId=158796399738886&vendorItemId=158795565056001&sourceType=search&rank=8&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
"SKINFOOD 魚子妃極緻美肌滲透乳, 145ml, 1瓶",$380,https://www.tw.coupang.com/products/SKINFOOD-%E9%AD%9A%E5%AD%90%E5%A6%83%E6%A5%B5%E7%B7%BB%E7%BE%8E%E8%82%8C%E6%BB%B2%E9%80%8F%E4%B9%B3-247892623212544?itemId=247892623212545&vendorItemId=247892619018241&sourceType=search&rank=9&searchId=bddc6fc5db8043ec822729eea697fa0c&q=%E9%BB%9B%E5%A6%83%E5%8C%85
