product_name,product_price,product_url
"福義軒 湘辣蘇打餅, 306g, 2袋",$124,https://www.tw.coupang.com/products/%E7%A6%8F%E7%BE%A9%E8%BB%92-%E6%B9%98%E8%BE%A3%E8%98%87%E6%89%93%E9%A4%85-164163674406915?itemId=281262480654338&vendorItemId=281262480654336&sourceType=search&rank=&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"御之味 蔬菜棒棒餅 16包, 256g, 2袋",$105,https://www.tw.coupang.com/products/%E5%BE%A1%E4%B9%8B%E5%91%B3-%E8%94%AC%E8%8F%9C%E6%A3%92%E6%A3%92%E9%A4%85-16%E5%8C%85-167435940347906?itemId=393286288113669&vendorItemId=393286288097284&sourceType=search&rank=1&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"SANRITSU 三立製菓 D'asses 白巧克力味夾心餅 12個, 84g, 2盒",$82,https://www.tw.coupang.com/products/SANRITSU-%E4%B8%89%E7%AB%8B%E8%A3%BD%E8%8F%93-D'asses-%E7%99%BD%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%91%B3%E5%A4%BE%E5%BF%83%E9%A4%85-12%E5%80%8B-162070943219720?itemId=358976688472069&vendorItemId=358976688439303&sourceType=search&rank=2&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"Kid-O 三明治餅乾 奶油口味 4.8oz, 136g, 3袋",$66,https://www.tw.coupang.com/products/Kid-O-%E4%B8%89%E6%98%8E%E6%B2%BB%E9%A4%85%E4%B9%BE-%E5%A5%B6%E6%B2%B9%E5%8F%A3%E5%91%B3-4.8oz-294273295564810?itemId=358970816397319&vendorItemId=358970816413702&sourceType=search&rank=3&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"Yu-Ki 起士夾心餅 8入, 150g, 2盒",$74,https://www.tw.coupang.com/products/Yu-Ki-%E8%B5%B7%E5%A3%AB%E5%A4%BE%E5%BF%83%E9%A4%85-8%E5%85%A5-122901575450668?itemId=423355203158024&vendorItemId=423355203158018&sourceType=search&rank=4&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"鴻津 太國捲, 350g, 2袋",$104,https://www.tw.coupang.com/products/%E9%B4%BB%E6%B4%A5-%E5%A4%AA%E5%9C%8B%E6%8D%B2-163435564187649?itemId=392567686365184&vendorItemId=392567686381568&sourceType=search&rank=5&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"nomura 野村 超大美樂圓餅 16入, 480g, 1袋",$146,https://www.tw.coupang.com/products/nomura-%E9%87%8E%E6%9D%91-%E8%B6%85%E5%A4%A7%E7%BE%8E%E6%A8%82%E5%9C%93%E9%A4%85-16%E5%85%A5-166030965948421?itemId=166031871934475&vendorItemId=166030961754113&sourceType=search&rank=6&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"可樂果 豌豆酥 原味, 48g, 12包",$130,https://www.tw.coupang.com/products/%E5%8F%AF%E6%A8%82%E6%9E%9C-%E8%B1%8C%E8%B1%86%E9%85%A5-%E5%8E%9F%E5%91%B3-263918278656005?itemId=263919184609301&vendorItemId=263919184609293&sourceType=search&rank=7&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"中祥 自然之顏 蔬菜餅乾 香蔥蘇打餅 量販包, 300g, 2包",$100,https://www.tw.coupang.com/products/%E4%B8%AD%E7%A5%A5-%E8%87%AA%E7%84%B6%E4%B9%8B%E9%A1%8F-%E8%94%AC%E8%8F%9C%E9%A4%85%E4%B9%BE-%E9%A6%99%E8%94%A5%E8%98%87%E6%89%93%E9%A4%85-%E9%87%8F%E8%B2%A9%E5%8C%85-151140226269192?itemId=358970740916226&vendorItemId=358970740916224&sourceType=search&rank=8&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
"Wasuka 特級巧克力威化捲, 600g, 1袋",$75,https://www.tw.coupang.com/products/Wasuka-%E7%89%B9%E7%B4%9A%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%A8%81%E5%8C%96%E6%8D%B2-163868827435008?itemId=163868370223114&vendorItemId=163868823240708&sourceType=search&rank=9&searchId=b2d6bc011aa9484488117c8e85861866&q=%E9%BB%9E%E5%BF%83%E9%A4%85%E4%B9%BE
